t268357648;t290749718;t372226525;t751169994;t1159091985;t1311180441;t1431595225;t1824284809;t1990024365;t2411117902;t2451517896;t2643905994;t2748282437;t2821698184;t3138706091;t3649082374;t4125607023;t4127043053;t4157170894;Y
45656;357414806;389247426;113343731;80793691;10679352;647565592;15702834;123561224;6978936;633554675;9391765928;52580736297;84787779238;9471160;76956948242;0;16519470;2512771601;0
52185;303054737;419384723;115045081;62356313;10524581;1481359931;8593091;122180558;6414025;573415829;10418242078;54027058764;83812191761;15090820;75331056635;0;17860175;2012099974;0
12656;397135947;8583824;115793567;42404707;1040168;983837100;3236754;122867957;64704167;640493622;12992530858;35632261940;65469925863;2835155;58998769376;0;30302485;2642049512;0
9630;557000146;7465242;114693931;44697302;867189;298024057;3135499;133727507;6022083;578673020;14352606110;33264513790;60464318666;2413069;49733916780;0;19832413;1771073483;0
18949;264379315;9874846;121537295;51923183;1189442;644203402;3351409;198339774;15949582;604526098;15577923998;33841507794;66720192332;3731104;50744875079;0;17637079;2216708736;0
28991;285341696;10011407;152411980;48808162;1181110;1461981671;3472788;284671282;5704133;645010940;26968068318;37432234577;90215595097;2608638;66470593396;0;16957543;2327576222;0
23185;653211696;11226592;146618343;35337739;1311864;2064332246;3503576;389320989;5373185;651129013;50699933010;42752570577;132143000000;3495512;99887589721;0;7500489;2516566435;0
19220;383426898;49345429;169783317;37816268;1009511;2177425143;3456245;417662050;6181060;677475000;53065234057;42932291904;133635000000;2530851;100098000000;0;11424224;2687786730;0
18661;358011268;12175674;262494568;32810290;1109506;2195977643;3513466;414795197;7771818;689338197;53700724084;45618573869;130914000000;3204170;101307000000;0;7825775;2861221967;0
8408;318697746;8330208;242359861;30647195;956773;1967178639;3497400;388028387;5545156;671286958;53484337200;40600580047;123691000000;2315624;92948008217;0;4775631;2359575146;0
6365;348321542;8202752;174374282;35825492;818008;1785472137;3677112;369195524;5875108;654383513;43824612092;45169894256;118222000000;2464706;89316785123;0;6188112;2375256704;0
9827;336433875;7912975;181277728;26077061;811110;1563031299;3441727;328125642;5920099;663820075;37556538278;41617289249;104534000000;2663597;79010793939;0;7392900;2299181017;0
4426;301535339;7770368;347711311;26004002;656385;2026209583;3652987;368681322;6284044;648389416;43549893778;37456098625;105384000000;2486448;79491608504;0;4013788;2445623412;0
13546;290075125;8145638;193271802;24013901;781059;1865553209;3604966;341081747;4916254;657759994;41711954185;35993226033;101192000000;2648772;76973025883;0;4710764;2215757629;0
0;264874828;6529151;180561538;20459925;553176;1854487758;3660202;345940663;4418329;636116295;42714331692;34521471143;101861000000;2005979;78263248139;0;3523323;2697003976;0
5317;333633419;13325259;220099252;24186991;6791226;1903754673;8473017;352382034;10592388;730406947;36426041738;35221622433;103483000000;2134857;78669114152;0;3675454;4088471163;0
1223;397090968;6592019;214348223;25769681;543717;1975034171;3577733;347763531;10718372;706765558;37398501380;31941726858;102149000000;2196802;78108324290;0;3545687;3943395376;0
1059;389750481;6329043;196260157;26195777;382698;1625068272;3786851;302604840;10767361;741882207;29087018232;31193129067;89327001298;1851251;68190285137;0;2678855;3639346003;0
1353;371766631;264571702;182496596;13980551;166726871;2176319427;238998070;270922148;10227446;710304015;29355387129;35174291597;94817349744;21367522;76249160576;0;2666452;3803662588;0
998;371037906;140991173;238660557;12822199;85713427;1547264060;124397762;242126010;12865043;717719890;19927126494;35318962850;80033926279;13230141;62725198920;0;2755802;4266092003;0
3489;471812641;85171260;206837227;26344497;13122435;1013241423;14176758;234846498;17061403;1301170181;20778790370;39681421574;98726658275;7981078;82907921022;0;102982410;6358031515;0
5764;383756405;221479879;114632003;32939769;127469679;869399332;98887907;193544055;17117399;724467859;12963004553;44712656298;92525757116;13303864;81770705950;0;5832939;4722702027;0
9226;361553204;455035214;115486761;7866083;60722180;870266377;27829541;148089550;17516339;1647686502;10400420392;34296038701;72163784975;279426985;64999650564;0;9220691;5542709108;0
9043;291082212;352155445;114769095;11240954;19224236;574474532;26183303;112835340;7990785;671250947;7887159783;49535729525;74330076796;292436458;66541572508;0;8529167;2411217810;0
20123;297390674;254018095;114933680;42543757;11260597;456844793;17662874;111281200;6027083;670439076;8229644531;51207577382;73568840928;8717038;66516944323;0;8352394;2318872847;0
47520;259873925;296440792;116445938;20772863;8512016;1335927568;8578209;116539141;4550306;620846604;9218104777;48985403336;71611150801;13204791;63800061363;0;5089281;1830152594;0
5637898;643939525;53235108;117634049;1864183;6485519;1043421929;5133679;137825236;8377725;636991171;10314131754;28690695634;54001671369;18178466;48190180677;0;13808112;2200349559;0
329504;228102675;42997370;116231937;3034049;15264676;321811036;3393226;124093292;58452120;239582579;10079457918;25236995610;45736546492;17028827;36195649169;0;4020750;1446046770;0
60747;220428278;29726031;120046319;5718519;4643316;454441158;3223495;149202795;18252225;221539320;10526389648;28780588226;52061762442;6605495;40071681521;0;2102471;1352704796;0
135505;274085316;69092504;146993728;16172710;4900865;986399029;3419436;228574305;3807422;258839645;26068982139;29790968065;73944678554;6315208;55947018540;0;3727828;1283115353;0
36731;593587314;14009869;188801811;47747174;2756137;1360465740;3608242;309690978;4838265;299105516;38098275533;38407741482;103135000000;4325976;78146780245;0;4015392;1644131181;0
45898;308599019;14996486;173904616;50428356;2497936;1761595140;3325809;361359933;5195209;330307785;43673510303;41695652661;114629000000;5347258;87122026205;0;4506625;1839221868;0
31737;318357026;17272350;239317498;48036448;2310474;1854343993;3383002;371715246;6216051;343425774;54495925065;44039690799;125971000000;4396168;99515669433;0;4689526;2031698172;0
4902;291492430;10234216;372742886;56968638;1146079;1677560523;4844777;350222452;5268201;331629581;40785065017;38566318036;104012000000;2499005;77567328729;0;3837823;1739231585;0
6414;327278628;9132701;302499623;54678970;1403613;2095559588;3604600;386189871;5575151;344743583;48442079784;43123194508;118213000000;2289575;91940014986;0;6185895;2022680212;0
2877;342746213;10041432;266613310;64061272;1636522;2278182931;3535989;392648229;10071471;351439573;48375081471;45951433742;121024000000;2946358;94798514160;0;10670283;2418132282;0
3694;304979826;10751092;203086798;54371645;2220584;1636197952;3463382;345102779;11473254;355070024;43201177813;44717239807;110668000000;3761640;84503484257;0;4146741;2396149443;0
11558;343607000;10594252;507630822;58968721;1573374;2658693753;3700901;464068943;5364185;384006616;68625824940;52043128556;149112000000;4194801;119944000000;0;5333063;2321033745;0
2740;334205306;8787934;325558115;43109500;1021839;2101278942;3658730;393460272;7826808;372046429;54111405024;48408874451;129698000000;2129413;103651000000;0;7484914;2943568810;0
8953;324392613;14249114;240655033;25266416;1757579;2099829924;3839433;394642101;6390029;401510958;47211968349;39592921624;115775000000;7229581;88044993086;0;3720187;3005736522;0
2179;375869558;7907052;231756785;20052685;987000;1981117264;3601960;363876225;9791512;412481288;40701274897;38122337773;110847000000;2719924;85617743424;0;3261426;3715230047;0
1651;282592067;8293007;176169563;16329913;685296;1614950557;3736306;313151157;5593149;384124603;33116867014;33118359375;90713840718;2506207;68387341919;0;2614153;2606147121;0
2557;311693624;268612570;166196299;13436513;169843070;2213342814;240588315;293959805;5644140;396331738;30182678929;37567434700;93022133549;22957954;72833623230;0;2817252;2841298439;0
14914;302465464;141883482;170357901;11316823;85685155;1404044543;121930221;233090779;8925642;401981882;19007503136;37239423896;76622272380;14508843;59424016977;0;4428784;3514352436;0
43957;325121756;96733947;208937069;37357528;115456445;673805059;13290076;201219834;13542944;943317581;15679308644;41091495180;87216655321;13952961;70486621249;0;4783906;4880628585;0
12372;388217047;588362438;135342459;39112960;198460494;1061520881;98989850;182722431;7676834;405856288;24981494655;42234879362;95470387632;18909184;84597336633;0;3898957;3040919418;0
5788;305245957;157138704;148609407;23385975;97431430;757703371;352213650;126776229;14509796;1366260291;17293682840;33193732417;74045693423;9108628;66007793142;0;8453907;4680805591;0
